Casecode,BMC_0009,BMC_0008,BMC_0007,BMC_0006,BMC_0005,BMC_0001,BMC_0002,BMC_0003,BMC_0004,MonteCarlo1,137i07,134sb01,134sb0103,134sb02,134sb01Br,134sb02Br,134sb03Br,134sb0103Br,134sb01CE,134sb02CE,134sb03CE,134sb0103CE,134sb02BG,134sb02BG_2MeV,134sb0103BG,134sb0103BG_2MeV
Histname,h_D_cyctime,h_D_cyctime,h_D_cyctime,h_D_cyctime,h_D_cyctime,h_D_cyctime,h_D_cyctime,h_D_cyctime,h_D_cyctime,h_D_cyctime,h_betas_vs_cycle_time,h_betas_vs_cycle_time,h_B_betas_vs_cycle_time,h_B_betas_vs_cycle_time,h_slow_vs_cycle_time,h_slow_vs_cycle_time,h_slow_vs_cycle_time,h_slow_vs_cycle_time,h_CE_vs_cycle_time,h_CE_vs_cycle_time,h_CE_vs_cycle_time,h_CE_vs_cycle_time,h_bg_vs_cycle_time,h_bg_gt2MeV_vs_cycle_time,h_bg_vs_cycle_time,h_bg_gt2MeV_vs_cycle_time
NOT USED,0,0,0,0,0,0,0,0,0,50,500,25,25,250,50,500,50,50,100,1000,100,100,500,1000,100,100
NPAR,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
dt_toggle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dt_value,1000,1000,1000,50,1000,1000,1000,1000,1000,50,500,25,25,250,50,500,50,50,100,1000,100,100,500,250,100,100
dt_error,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
DC_toggle,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
DC_value,0,0,0,0,20,4,20,20,20,4,0.4,76,71,1,0.06,0.003,70,140,0.1,0.0011777778,0.1,0.042254902,0.1,0.011,1,0.15
DC_error,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0
r1_toggle,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r1_value,0,10,10,0,50,10,50,50,50,240,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
r1_error,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.001,0.001,4,4,0.001,0.001,0.001,0.001,4,4,4,4
r2_toggle,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
r2_value,10,0,0,50,50,10,50,50,50,1200,24,40,31,0.5,1,0.01,31,62,0,0,0,0,0,0,0,0.01
r2_error,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.24
r3_toggle,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
r3_value,10,0,0,0,50,10,50,50,50,0,1200,55,103,2.2,1.8,0.05,206,206,1.8,0.0383,1.8,1.9,0.6,0.028,30,0.01
r3_error,12,12,12,12,12,12,12,12,12,12,12,12,12,12,1,1,12,12,1,1,1,1,12,12,12,12
p_toggle,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0
p_value,1,1,1,0.65,0.713489732,0.9,0.9,0.713489732,0.713489732,0.75,0.75,0.6,0.58,0.6,1,1,1,1,1,0.78,1,0.75,0.6,0.6,0.6,1
p_error,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.0075,0.01,0.01,0.0075,0.0075,0.01,0.01,0.01,0.01,0.0075,0.0075,0.0075,0.0075
rho_toggle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rho_value,1,1,1,0.95,0.935526198,0.8,0.8,0.935526198,0.935526198,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
rho_error,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
epsT_toggle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epsT_value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
epsT_error,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
epsU_toggle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epsU_value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1
epsU_error,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
epsV_toggle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epsV_value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1
epsV_error,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
epsW_toggle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epsW_value,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1
epsW_error,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
epsX_toggle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epsX_value,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epsX_error,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
epsY_toggle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epsY_value,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epsY_error,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
epsZ_toggle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
epsZ_value,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
